year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR2,I_FDR3,I_FDR4
2021,4,25,16,23,11,559,1619331791.559000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,11,688,1619331791.688000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,11,819,1619331791.819000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,11,943,1619331791.943000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,12,73,1619331792.073000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,12,191,1619331792.191000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,12,324,1619331792.324000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,12,444,1619331792.444000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,12,568,1619331792.568000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,12,685,1619331792.685000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,12,811,1619331792.811000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,12,933,1619331792.933000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,13,56,1619331793.056000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,13,176,1619331793.176000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,13,298,1619331793.298000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,13,422,1619331793.422000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,13,545,1619331793.545000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,13,668,1619331793.668000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,13,793,1619331793.793000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,13,916,1619331793.916000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,14,43,1619331794.043000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,14,164,1619331794.164000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,14,289,1619331794.289000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,14,410,1619331794.410000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,14,540,1619331794.540000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,14,658,1619331794.658000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,14,782,1619331794.782000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,14,905,1619331794.905000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,15,36,1619331795.036000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,15,152,1619331795.152000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,15,271,1619331795.271000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,15,389,1619331795.389000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,15,513,1619331795.513000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,15,632,1619331795.632000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,15,762,1619331795.762000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,15,876,1619331795.876000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,15,995,1619331795.995000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,16,117,1619331796.117000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,16,238,1619331796.238000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,16,358,1619331796.358000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,16,474,1619331796.474000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,16,600,1619331796.600000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,16,722,1619331796.722000,0,0,0,0,0,0,0,26,26,26,26,
