year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR2,I_FDR3,I_FDR4
2021,3,25,15,28,55,530,1616650135.530000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,55,649,1616650135.649000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,55,774,1616650135.774000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,55,894,1616650135.894000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,56,14,1616650136.014000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,56,127,1616650136.127000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,56,245,1616650136.245000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,56,369,1616650136.369000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,56,489,1616650136.489000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,56,602,1616650136.602000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,56,721,1616650136.721000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,56,839,1616650136.839000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,56,963,1616650136.963000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,57,86,1616650137.086000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,57,204,1616650137.204000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,57,329,1616650137.329000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,57,445,1616650137.445000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,57,566,1616650137.566000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,57,684,1616650137.684000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,57,807,1616650137.807000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,57,923,1616650137.923000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,58,36,1616650138.036000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,58,157,1616650138.157000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,58,281,1616650138.281000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,58,404,1616650138.404000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,58,525,1616650138.525000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,58,641,1616650138.641000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,58,761,1616650138.761000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,58,886,1616650138.886000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,59,10,1616650139.010000,0,0,0,0,0,0,0,26,26,26,26,
