pkt arrive time in UTC,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR2,I_FDR3,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1619331799.58436,1.00082,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,16,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331799.61307,1.00034,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,14,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331799.88046,1.00012,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,16,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331800.13820,1.00025,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,15,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331800.58471,1.00035,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,17,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331800.61608,1.00301,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,15,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331800.88035,0.99989,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,17,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331801.13868,1.00048,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,16,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331801.58519,1.00048,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,18,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331801.61396,0.99788,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,16,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331801.88035,1.00000,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,18,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331802.13929,1.00061,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,17,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331802.58569,1.00050,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,19,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331802.61509,1.00113,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,17,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331802.88048,1.00013,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,19,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331803.14011,1.00082,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,18,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331803.58632,1.00063,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,20,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331803.61568,1.00059,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,18,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331803.88051,1.00003,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,20,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331804.14065,1.00054,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,19,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331804.58667,1.00035,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,21,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331804.61638,1.00070,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,19,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331804.88053,1.00002,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,21,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331805.14116,1.00051,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,20,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331805.58709,1.00042,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,22,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331805.61641,1.00003,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,20,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331805.88027,0.99974,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,22,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331806.14208,1.00092,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,21,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331806.58730,1.00021,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,23,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331806.61897,1.00256,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,21,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331806.88100,1.00073,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,23,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331807.14250,1.00042,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,22,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331807.58759,1.00029,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,24,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331807.61924,1.00027,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,22,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331807.88139,1.00039,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,24,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331808.14290,1.00040,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,23,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331808.58779,1.00020,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,25,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
